ranking,school,conference,conference_long,season,gender,league,division,rank_type,school_vm
228,Stony Brook,America East,America East,1999,women,NCAA,D1,Pablo,Stony Brook University
230,Stony Brook,America East,America East,2014,women,NCAA,D1,Pablo,Stony Brook University
234,Stony Brook,America East,America East,2006,women,NCAA,D1,Pablo,Stony Brook University
237,Stony Brook,America East,America East,2008,women,NCAA,D1,Pablo,Stony Brook University
241,Stony Brook,America East,America East,2015,women,NCAA,D1,Pablo,Stony Brook University
243,Stony Brook,America East,America East,2012,women,NCAA,D1,Pablo,Stony Brook University
243,Stony Brook,America East,America East,2021,women,NCAA,D1,Pablo,Stony Brook University
247,Stony Brook,America East,America East,2016,women,NCAA,D1,Pablo,Stony Brook University
249,Stony Brook,America East,America East,2019,women,NCAA,D1,Pablo,Stony Brook University
253,Stony Brook,America East,America East,2022,women,NCAA,D1,Pablo,Stony Brook University
258,Stony Brook,America East,America East,2010,women,NCAA,D1,Pablo,Stony Brook University
263,Stony Brook,America East,America East,2000,women,NCAA,D1,Pablo,Stony Brook University
263,Stony Brook,America East,America East,2013,women,NCAA,D1,Pablo,Stony Brook University
278,Stony Brook,America East,America East,2001,women,NCAA,D1,Pablo,Stony Brook University
,Stony Brook,America East,America East,2020,women,NCAA,D1,Pablo,Stony Brook University
265,UAlbany,America East,America East,2022,women,NCAA,D1,RPI,University at Albany
73,UMBC,America East,America East,2022,women,NCAA,D1,RPI,"University of Maryland, Baltimore County"
146,UMBC,America East,America East,2022,women,NCAA,D1,Pablo,"University of Maryland, Baltimore County"
174,UMBC,America East,America East,1999,women,NCAA,D1,Pablo,"University of Maryland, Baltimore County"
184,UMBC,America East,America East,2021,women,NCAA,D1,Pablo,"University of Maryland, Baltimore County"
187,UMBC,America East,America East,2008,women,NCAA,D1,Pablo,"University of Maryland, Baltimore County"
190,UMBC,America East,America East,2006,women,NCAA,D1,Pablo,"University of Maryland, Baltimore County"
190,UMBC,America East,America East,2011,women,NCAA,D1,Pablo,"University of Maryland, Baltimore County"
203,UMBC,America East,America East,2002,women,NCAA,D1,Pablo,"University of Maryland, Baltimore County"
204,UMBC,America East,America East,2007,women,NCAA,D1,Pablo,"University of Maryland, Baltimore County"
209,UMBC,America East,America East,2012,women,NCAA,D1,Pablo,"University of Maryland, Baltimore County"
223,UMBC,America East,America East,2001,women,NCAA,D1,Pablo,"University of Maryland, Baltimore County"
227,UMBC,America East,America East,2013,women,NCAA,D1,Pablo,"University of Maryland, Baltimore County"
229,UMBC,America East,America East,2000,women,NCAA,D1,Pablo,"University of Maryland, Baltimore County"
229,UMBC,America East,America East,2004,women,NCAA,D1,Pablo,"University of Maryland, Baltimore County"
232,UMBC,America East,America East,2016,women,NCAA,D1,Pablo,"University of Maryland, Baltimore County"
233,UMBC,America East,America East,2005,women,NCAA,D1,Pablo,"University of Maryland, Baltimore County"
235,UMBC,America East,America East,2009,women,NCAA,D1,Pablo,"University of Maryland, Baltimore County"
240,UMBC,America East,America East,2017,women,NCAA,D1,Pablo,"University of Maryland, Baltimore County"
242,UMBC,America East,America East,2003,women,NCAA,D1,Pablo,"University of Maryland, Baltimore County"
242,UMBC,America East,America East,2018,women,NCAA,D1,Pablo,"University of Maryland, Baltimore County"
250,UMBC,America East,America East,2010,women,NCAA,D1,Pablo,"University of Maryland, Baltimore County"
272,UMBC,America East,America East,2015,women,NCAA,D1,Pablo,"University of Maryland, Baltimore County"
272,UMBC,America East,America East,2019,women,NCAA,D1,Pablo,"University of Maryland, Baltimore County"
292,UMBC,America East,America East,2014,women,NCAA,D1,Pablo,"University of Maryland, Baltimore County"
,UMBC,America East,America East,2020,women,NCAA,D1,Pablo,"University of Maryland, Baltimore County"
161,Cincinnati,AAC,American Athletic,2022,women,NCAA,D1,RPI,University of Cincinnati
193,East Carolina,AAC,American Athletic,2022,women,NCAA,D1,RPI,East Carolina University
18,Houston,AAC,American Athletic,2022,women,NCAA,D1,RPI,University of Houston
163,Memphis,AAC,American Athletic,2022,women,NCAA,D1,RPI,University of Memphis
59,SMU,AAC,American Athletic,2022,women,NCAA,D1,RPI,Southern Methodist University
212,South Fla.,AAC,American Athletic,2022,women,NCAA,D1,RPI,University of South Florida
229,Temple,AAC,American Athletic,2022,women,NCAA,D1,RPI,Temple University
245,Tulane,AAC,American Athletic,2022,women,NCAA,D1,RPI,Tulane University
152,Tulsa,AAC,American Athletic,2022,women,NCAA,D1,RPI,University of Tulsa
17,UCF,AAC,American Athletic,2022,women,NCAA,D1,RPI,University of Central Florida
60,Wichita St.,AAC,American Athletic,2022,women,NCAA,D1,RPI,Wichita State University
20,Cincinnati,AAC,American Athletic,2001,women,NCAA,D1,Pablo,University of Cincinnati
25,Cincinnati,AAC,American Athletic,2008,women,NCAA,D1,Pablo,University of Cincinnati
29,Cincinnati,AAC,American Athletic,2019,women,NCAA,D1,Pablo,University of Cincinnati
31,Cincinnati,AAC,American Athletic,2010,women,NCAA,D1,Pablo,University of Cincinnati
33,Cincinnati,AAC,American Athletic,2011,women,NCAA,D1,Pablo,University of Cincinnati
38,Cincinnati,AAC,American Athletic,2002,women,NCAA,D1,Pablo,University of Cincinnati
38,Cincinnati,AAC,American Athletic,2018,women,NCAA,D1,Pablo,University of Cincinnati
44,Cincinnati,AAC,American Athletic,1999,women,NCAA,D1,Pablo,University of Cincinnati
46,Cincinnati,AAC,American Athletic,2009,women,NCAA,D1,Pablo,University of Cincinnati
50,Cincinnati,AAC,American Athletic,2000,women,NCAA,D1,Pablo,University of Cincinnati
51,Cincinnati,AAC,American Athletic,2003,women,NCAA,D1,Pablo,University of Cincinnati
56,Cincinnati,AAC,American Athletic,2006,women,NCAA,D1,Pablo,University of Cincinnati
57,Cincinnati,AAC,American Athletic,2004,women,NCAA,D1,Pablo,University of Cincinnati
57,Cincinnati,AAC,American Athletic,2016,women,NCAA,D1,Pablo,University of Cincinnati
63,Cincinnati,AAC,American Athletic,2007,women,NCAA,D1,Pablo,University of Cincinnati
70,Cincinnati,AAC,American Athletic,2005,women,NCAA,D1,Pablo,University of Cincinnati
80,Cincinnati,AAC,American Athletic,2021,women,NCAA,D1,Pablo,University of Cincinnati
99,Cincinnati,AAC,American Athletic,2015,women,NCAA,D1,Pablo,University of Cincinnati
117,Cincinnati,AAC,American Athletic,2012,women,NCAA,D1,Pablo,University of Cincinnati
132,Cincinnati,AAC,American Athletic,2017,women,NCAA,D1,Pablo,University of Cincinnati
137,Cincinnati,AAC,American Athletic,2022,women,NCAA,D1,Pablo,University of Cincinnati
167,Cincinnati,AAC,American Athletic,2014,women,NCAA,D1,Pablo,University of Cincinnati
261,Cincinnati,AAC,American Athletic,2013,women,NCAA,D1,Pablo,University of Cincinnati
,Cincinnati,AAC,American Athletic,2020,women,NCAA,D1,Pablo,University of Cincinnati
131,East Carolina,AAC,American Athletic,2005,women,NCAA,D1,Pablo,East Carolina University
141,East Carolina,AAC,American Athletic,2006,women,NCAA,D1,Pablo,East Carolina University
147,East Carolina,AAC,American Athletic,2007,women,NCAA,D1,Pablo,East Carolina University
150,East Carolina,AAC,American Athletic,2017,women,NCAA,D1,Pablo,East Carolina University
154,East Carolina,AAC,American Athletic,2000,women,NCAA,D1,Pablo,East Carolina University
166,East Carolina,AAC,American Athletic,2001,women,NCAA,D1,Pablo,East Carolina University
190,East Carolina,AAC,American Athletic,2019,women,NCAA,D1,Pablo,East Carolina University
195,East Carolina,AAC,American Athletic,2018,women,NCAA,D1,Pablo,East Carolina University
200,East Carolina,AAC,American Athletic,2022,women,NCAA,D1,Pablo,East Carolina University
207,East Carolina,AAC,American Athletic,2004,women,NCAA,D1,Pablo,East Carolina University
207,East Carolina,AAC,American Athletic,2021,women,NCAA,D1,Pablo,East Carolina University
212,East Carolina,AAC,American Athletic,2016,women,NCAA,D1,Pablo,East Carolina University
216,East Carolina,AAC,American Athletic,2008,women,NCAA,D1,Pablo,East Carolina University
219,East Carolina,AAC,American Athletic,2014,women,NCAA,D1,Pablo,East Carolina University
224,East Carolina,AAC,American Athletic,2015,women,NCAA,D1,Pablo,East Carolina University
229,East Carolina,AAC,American Athletic,2003,women,NCAA,D1,Pablo,East Carolina University
230,East Carolina,AAC,American Athletic,1999,women,NCAA,D1,Pablo,East Carolina University
242,East Carolina,AAC,American Athletic,2013,women,NCAA,D1,Pablo,East Carolina University
246,East Carolina,AAC,American Athletic,2002,women,NCAA,D1,Pablo,East Carolina University
252,East Carolina,AAC,American Athletic,2009,women,NCAA,D1,Pablo,East Carolina University
269,East Carolina,AAC,American Athletic,2010,women,NCAA,D1,Pablo,East Carolina University
278,East Carolina,AAC,American Athletic,2012,women,NCAA,D1,Pablo,East Carolina University
279,East Carolina,AAC,American Athletic,2011,women,NCAA,D1,Pablo,East Carolina University
,East Carolina,AAC,American Athletic,2020,women,NCAA,D1,Pablo,East Carolina University
28,Houston,AAC,American Athletic,2022,women,NCAA,D1,Pablo,University of Houston
47,Houston,AAC,American Athletic,2001,women,NCAA,D1,Pablo,University of Houston
63,Houston,AAC,American Athletic,2008,women,NCAA,D1,Pablo,University of Houston
65,Houston,AAC,American Athletic,2021,women,NCAA,D1,Pablo,University of Houston
71,Houston,AAC,American Athletic,2000,women,NCAA,D1,Pablo,University of Houston
80,Houston,AAC,American Athletic,2005,women,NCAA,D1,Pablo,University of Houston
88,Houston,AAC,American Athletic,2002,women,NCAA,D1,Pablo,University of Houston
92,Houston,AAC,American Athletic,2010,women,NCAA,D1,Pablo,University of Houston
95,Houston,AAC,American Athletic,1999,women,NCAA,D1,Pablo,University of Houston
107,Houston,AAC,American Athletic,2003,women,NCAA,D1,Pablo,University of Houston
118,Houston,AAC,American Athletic,2004,women,NCAA,D1,Pablo,University of Houston
118,Houston,AAC,American Athletic,2011,women,NCAA,D1,Pablo,University of Houston
141,Houston,AAC,American Athletic,2019,women,NCAA,D1,Pablo,University of Houston
147,Houston,AAC,American Athletic,2009,women,NCAA,D1,Pablo,University of Houston
149,Houston,AAC,American Athletic,2006,women,NCAA,D1,Pablo,University of Houston
153,Houston,AAC,American Athletic,2015,women,NCAA,D1,Pablo,University of Houston
158,Houston,AAC,American Athletic,2012,women,NCAA,D1,Pablo,University of Houston
158,Houston,AAC,American Athletic,2018,women,NCAA,D1,Pablo,University of Houston
161,Houston,AAC,American Athletic,2007,women,NCAA,D1,Pablo,University of Houston
167,Houston,AAC,American Athletic,2017,women,NCAA,D1,Pablo,University of Houston
180,Houston,AAC,American Athletic,2014,women,NCAA,D1,Pablo,University of Houston
189,Houston,AAC,American Athletic,2013,women,NCAA,D1,Pablo,University of Houston
252,Houston,AAC,American Athletic,2016,women,NCAA,D1,Pablo,University of Houston
,Houston,AAC,American Athletic,2020,women,NCAA,D1,Pablo,University of Houston
78,Memphis,AAC,American Athletic,2001,women,NCAA,D1,Pablo,University of Memphis
82,Memphis,AAC,American Athletic,2003,women,NCAA,D1,Pablo,University of Memphis
99,Memphis,AAC,American Athletic,2004,women,NCAA,D1,Pablo,University of Memphis
102,Memphis,AAC,American Athletic,2006,women,NCAA,D1,Pablo,University of Memphis
103,Memphis,AAC,American Athletic,2014,women,NCAA,D1,Pablo,University of Memphis
125,Memphis,AAC,American Athletic,2011,women,NCAA,D1,Pablo,University of Memphis
126,Memphis,AAC,American Athletic,2007,women,NCAA,D1,Pablo,University of Memphis
132,Memphis,AAC,American Athletic,2015,women,NCAA,D1,Pablo,University of Memphis
138,Memphis,AAC,American Athletic,2008,women,NCAA,D1,Pablo,University of Memphis
146,Memphis,AAC,American Athletic,2002,women,NCAA,D1,Pablo,University of Memphis
164,Memphis,AAC,American Athletic,2019,women,NCAA,D1,Pablo,University of Memphis
176,Memphis,AAC,American Athletic,2012,women,NCAA,D1,Pablo,University of Memphis
179,Memphis,AAC,American Athletic,2016,women,NCAA,D1,Pablo,University of Memphis
183,Memphis,AAC,American Athletic,2005,women,NCAA,D1,Pablo,University of Memphis
186,Memphis,AAC,American Athletic,2010,women,NCAA,D1,Pablo,University of Memphis
186,Memphis,AAC,American Athletic,2022,women,NCAA,D1,Pablo,University of Memphis
190,Memphis,AAC,American Athletic,2000,women,NCAA,D1,Pablo,University of Memphis
197,Memphis,AAC,American Athletic,1999,women,NCAA,D1,Pablo,University of Memphis
199,Memphis,AAC,American Athletic,2013,women,NCAA,D1,Pablo,University of Memphis
203,Memphis,AAC,American Athletic,2009,women,NCAA,D1,Pablo,University of Memphis
210,Memphis,AAC,American Athletic,2021,women,NCAA,D1,Pablo,University of Memphis
229,Memphis,AAC,American Athletic,2018,women,NCAA,D1,Pablo,University of Memphis
247,Memphis,AAC,American Athletic,2017,women,NCAA,D1,Pablo,University of Memphis
,Memphis,AAC,American Athletic,2020,women,NCAA,D1,Pablo,University of Memphis
44,SMU,AAC,American Athletic,2015,women,NCAA,D1,Pablo,Southern Methodist University
46,SMU,AAC,American Athletic,2016,women,NCAA,D1,Pablo,Southern Methodist University
48,SMU,AAC,American Athletic,2014,women,NCAA,D1,Pablo,Southern Methodist University
51,SMU,AAC,American Athletic,2022,women,NCAA,D1,Pablo,Southern Methodist University
61,SMU,AAC,American Athletic,2003,women,NCAA,D1,Pablo,Southern Methodist University
63,SMU,AAC,American Athletic,1999,women,NCAA,D1,Pablo,Southern Methodist University
67,SMU,AAC,American Athletic,2010,women,NCAA,D1,Pablo,Southern Methodist University
69,SMU,AAC,American Athletic,2011,women,NCAA,D1,Pablo,Southern Methodist University
72,SMU,AAC,American Athletic,2013,women,NCAA,D1,Pablo,Southern Methodist University
72,SMU,AAC,American Athletic,2019,women,NCAA,D1,Pablo,Southern Methodist University
80,SMU,AAC,American Athletic,2009,women,NCAA,D1,Pablo,Southern Methodist University
90,SMU,AAC,American Athletic,2021,women,NCAA,D1,Pablo,Southern Methodist University
91,SMU,AAC,American Athletic,2017,women,NCAA,D1,Pablo,Southern Methodist University
93,SMU,AAC,American Athletic,2001,women,NCAA,D1,Pablo,Southern Methodist University
113,SMU,AAC,American Athletic,2018,women,NCAA,D1,Pablo,Southern Methodist University
121,SMU,AAC,American Athletic,2004,women,NCAA,D1,Pablo,Southern Methodist University
138,SMU,AAC,American Athletic,2000,women,NCAA,D1,Pablo,Southern Methodist University
141,SMU,AAC,American Athletic,2008,women,NCAA,D1,Pablo,Southern Methodist University
141,SMU,AAC,American Athletic,2012,women,NCAA,D1,Pablo,Southern Methodist University
147,SMU,AAC,American Athletic,2002,women,NCAA,D1,Pablo,Southern Methodist University
149,SMU,AAC,American Athletic,2005,women,NCAA,D1,Pablo,Southern Methodist University
169,SMU,AAC,American Athletic,2006,women,NCAA,D1,Pablo,Southern Methodist University
176,SMU,AAC,American Athletic,2007,women,NCAA,D1,Pablo,Southern Methodist University
,SMU,AAC,American Athletic,2020,women,NCAA,D1,Pablo,Southern Methodist University
31,Temple,AAC,American Athletic,2002,women,NCAA,D1,Pablo,Temple University
42,Temple,AAC,American Athletic,1999,women,NCAA,D1,Pablo,Temple University
66,Temple,AAC,American Athletic,2000,women,NCAA,D1,Pablo,Temple University
66,Temple,AAC,American Athletic,2001,women,NCAA,D1,Pablo,Temple University
67,Temple,AAC,American Athletic,2014,women,NCAA,D1,Pablo,Temple University
69,Temple,AAC,American Athletic,2015,women,NCAA,D1,Pablo,Temple University
72,Temple,AAC,American Athletic,2003,women,NCAA,D1,Pablo,Temple University
81,Temple,AAC,American Athletic,2016,women,NCAA,D1,Pablo,Temple University
94,Temple,AAC,American Athletic,2017,women,NCAA,D1,Pablo,Temple University
101,Temple,AAC,American Athletic,2009,women,NCAA,D1,Pablo,Temple University
104,Temple,AAC,American Athletic,2007,women,NCAA,D1,Pablo,Temple University
115,Temple,AAC,American Athletic,2005,women,NCAA,D1,Pablo,Temple University
141,Temple,AAC,American Athletic,2004,women,NCAA,D1,Pablo,Temple University
151,Temple,AAC,American Athletic,2006,women,NCAA,D1,Pablo,Temple University
161,Temple,AAC,American Athletic,2018,women,NCAA,D1,Pablo,Temple University
172,Temple,AAC,American Athletic,2019,women,NCAA,D1,Pablo,Temple University
174,Temple,AAC,American Athletic,2012,women,NCAA,D1,Pablo,Temple University
192,Temple,AAC,American Athletic,2008,women,NCAA,D1,Pablo,Temple University
212,Temple,AAC,American Athletic,2013,women,NCAA,D1,Pablo,Temple University
245,Temple,AAC,American Athletic,2022,women,NCAA,D1,Pablo,Temple University
255,Temple,AAC,American Athletic,2021,women,NCAA,D1,Pablo,Temple University
266,Temple,AAC,American Athletic,2011,women,NCAA,D1,Pablo,Temple University
283,Temple,AAC,American Athletic,2010,women,NCAA,D1,Pablo,Temple University
,Temple,AAC,American Athletic,2020,women,NCAA,D1,Pablo,Temple University
25,Tulane,AAC,American Athletic,2008,women,NCAA,D1,Pablo,Tulane University
50,Tulane,AAC,American Athletic,2018,women,NCAA,D1,Pablo,Tulane University
51,Tulane,AAC,American Athletic,2007,women,NCAA,D1,Pablo,Tulane University
58,Tulane,AAC,American Athletic,2009,women,NCAA,D1,Pablo,Tulane University
75,Tulane,AAC,American Athletic,2013,women,NCAA,D1,Pablo,Tulane University
88,Tulane,AAC,American Athletic,2019,women,NCAA,D1,Pablo,Tulane University
95,Tulane,AAC,American Athletic,2003,women,NCAA,D1,Pablo,Tulane University
100,Tulane,AAC,American Athletic,2001,women,NCAA,D1,Pablo,Tulane University
100,Tulane,AAC,American Athletic,2002,women,NCAA,D1,Pablo,Tulane University
109,Tulane,AAC,American Athletic,2010,women,NCAA,D1,Pablo,Tulane University
116,Tulane,AAC,American Athletic,2016,women,NCAA,D1,Pablo,Tulane University
123,Tulane,AAC,American Athletic,2004,women,NCAA,D1,Pablo,Tulane University
134,Tulane,AAC,American Athletic,2006,women,NCAA,D1,Pablo,Tulane University
142,Tulane,AAC,American Athletic,2021,women,NCAA,D1,Pablo,Tulane University
159,Tulane,AAC,American Athletic,1999,women,NCAA,D1,Pablo,Tulane University
174,Tulane,AAC,American Athletic,2000,women,NCAA,D1,Pablo,Tulane University
186,Tulane,AAC,American Athletic,2017,women,NCAA,D1,Pablo,Tulane University
193,Tulane,AAC,American Athletic,2005,women,NCAA,D1,Pablo,Tulane University
193,Tulane,AAC,American Athletic,2022,women,NCAA,D1,Pablo,Tulane University
204,Tulane,AAC,American Athletic,2011,women,NCAA,D1,Pablo,Tulane University
220,Tulane,AAC,American Athletic,2012,women,NCAA,D1,Pablo,Tulane University
233,Tulane,AAC,American Athletic,2015,women,NCAA,D1,Pablo,Tulane University
248,Tulane,AAC,American Athletic,2014,women,NCAA,D1,Pablo,Tulane University
,Tulane,AAC,American Athletic,2020,women,NCAA,D1,Pablo,Tulane University
24,Tulsa,AAC,American Athletic,2010,women,NCAA,D1,Pablo,University of Tulsa
31,Tulsa,AAC,American Athletic,2011,women,NCAA,D1,Pablo,University of Tulsa
38,Tulsa,AAC,American Athletic,2009,women,NCAA,D1,Pablo,University of Tulsa
42,Tulsa,AAC,American Athletic,2012,women,NCAA,D1,Pablo,University of Tulsa
